Data collection started on {01/24/2018 11:26:17.013}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.2000000000	218.5397116045	110.3227283131	68.2688639658	59.1134508278	3.3875028611	-5.5237659266	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.8757457847	-0.2531776913	-0.9411764706	0.2849164569	0.0476081483	-0.7717402914	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0053101396	0.0620737011	-0.2744792859	0.0587777523	-0.0737926299	-0.0543831540	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8870069429	2.8918898299	0.8250125887	2.4750377661	
0.2200000000	230.0144960708	-13.6415655756	126.0700389105	123.5065232319	-6.7444876783	-3.4485389487	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.7683222705	-0.2878461891	-0.7707637140	0.2868696117	-0.0749523156	-0.7512321660	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0155642023	0.0455939574	-0.2781414511	0.0591439689	-0.0789196612	-0.0602426184	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8857862211	2.8577096208	0.8250125887	2.4750377661	
0.2400000000	176.2417029068	-104.9515526055	166.5369649805	154.6349279011	-12.4208438239	1.4953841459	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.6296482795	-0.3107957580	-0.5505455100	0.2399938964	-0.1569848173	-0.6257419699	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0195925841	0.0272831312	-0.2814373999	0.0591439689	-0.0913710231	-0.0562142367	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8943312734	2.9175249866	0.8250125887	2.4750377661	
0.2600000000	129.6711680781	-165.9876401923	168.7953002213	149.5689326314	-14.3739986267	3.9978637369	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.5412680247	-0.3303273060	-0.4006408789	0.1897001602	-0.2458533608	-0.5437094682	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0181277180	0.0100709545	-0.2840009155	0.0554818036	-0.1049210346	-0.0459601740	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8870069429	2.8894483864	0.8250125887	2.4750377661	
0.2800000000	69.9778744182	-200.1678492409	138.8876173037	126.2531471733	-15.5947203784	4.4251163500	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.4470283055	-0.3649958038	-0.3264209964	0.1604028382	-0.4250553140	-0.4899977111	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0060425727	-0.0031128405	-0.2861982147	0.0529182879	-0.1115129320	-0.0565804532	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8857862211	2.8943312734	0.8250125887	2.4750377661	
0.3000000000	27.9240100710	-209.8725871672	89.2652780957	101.5945677882	-20.5996795605	7.8431372549	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.3356984817	-0.3801327535	-0.3220263981	0.1452658885	-0.4929274434	-0.4548409247	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0064087892	-0.0078736553	-0.2869306477	0.0514534218	-0.1283588922	-0.0679331655	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8699168383	2.8821240558	0.8250125887	2.4750377661	
0.3200000000	-8.5755703059	-211.2764171817	48.4321355001	84.1382467384	-24.5059891661	10.4066529335	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.2463416495	-0.3815976196	-0.3293507286	0.1330586709	-0.4948805982	-0.4660715648	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0217898833	-0.0111696040	-0.2843671321	0.0518196384	-0.1364156558	-0.0617074846	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8918898299	2.8711375601	0.8250125887	2.4750377661	
0.3400000000	-56.6109712367	-197.5432974746	11.7494468605	49.5307850767	-24.7501335164	12.2987716487	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.1657740139	-0.3230029755	-0.1911650263	0.1276874952	-0.4597238117	-0.4274967575	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0382696269	-0.0097047379	-0.2810711833	0.0463263905	-0.1433737697	-0.0606088350	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8760204471	2.9004348821	0.8250125887	2.4750377661	
0.3600000000	-111.3603418021	-152.4986648356	-18.5854886702	-25.7877470054	-9.1859311818	9.5521477073	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.1130388342	-0.3225146868	-0.1047379263	0.0856946670	-0.4304264897	-0.3728084230	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0543831540	-0.0067750057	-0.2788738842	0.0492561227	-0.1463035019	-0.0415655756	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8796826123	2.8747997253	0.8250125887	2.4750377661	
0.3800000000	-186.9230182345	-37.4456397345	-67.1702143893	-78.0956740673	-3.8147554742	8.1483176928	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.1867704280	-0.2634317540	-0.0183108263	0.0959487297	-0.4865796902	-0.3815976196	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0668345159	-0.0001831083	-0.2744792859	0.0466926070	-0.1426413367	-0.0529182879	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8870069429	2.9016556039	0.8250125887	2.4750377661	
